ID,Plate,Treatment,Line,Symbiosis,Well,Temp,Lacerate,Day_cat,Day,Pedal
H2-Apo-25-C3-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,14_day,14,
H2-Apo-25-C3-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,21_day,21,
H2-Apo-25-C4-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,3_day,3,
H2-Apo-25-C4-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,7_day,7,
H2-Apo-25-C4-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,14_day,14,
H2-Apo-25-C4-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,21_day,21,
H2-Apo-25-C4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,3_day,3,544.75
H2-Apo-25-C4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,7_day,7,453.67
H2-Apo-25-C4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,14_day,14,469.86
H2-Apo-25-C4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,21_day,21,587.04
H2-Apo-25-C4-1,3,H2-Ino-25,H2,Ino,B1,25C (ambient),1,3_day,3,469.95
H2-Apo-32-A1-1,3,H2-Ino-25,H2,Ino,B1,25C (ambient),1,7_day,7,338.86
H2-Apo-32-A1-1,3,H2-Ino-25,H2,Ino,B1,25C (ambient),1,14_day,14,259.54
H2-Apo-32-A1-1,3,H2-Ino-25,H2,Ino,B1,25C (ambient),1,21_day,21,238.8
H2-Apo-32-A1-1,3,H2-Ino-25,H2,Ino,B2,25C (ambient),1,3_day,3,384.95
H2-Apo-32-A1-1,3,H2-Ino-25,H2,Ino,B2,25C (ambient),1,7_day,7,413.29
H2-Apo-32-A1-1,3,H2-Ino-25,H2,Ino,B2,25C (ambient),1,14_day,14,366.33
H2-Apo-32-A1-1,3,H2-Ino-25,H2,Ino,B2,25C (ambient),1,21_day,21,352.07
H2-Apo-32-A1-1,3,H2-Ino-25,H2,Ino,B3,25C (ambient),1,3_day,3,505.74
H2-Apo-32-A1-1,3,H2-Ino-25,H2,Ino,B3,25C (ambient),1,7_day,7,508.8
H2-Apo-32-A2-1,3,H2-Ino-25,H2,Ino,B3,25C (ambient),1,14_day,14,375.67
H2-Apo-32-A2-1,3,H2-Ino-25,H2,Ino,B3,25C (ambient),1,21_day,21,354.11
H2-Apo-32-A2-1,3,H2-Ino-25,H2,Ino,B4,25C (ambient),1,3_day,3,564.02
H2-Apo-32-A2-1,3,H2-Ino-25,H2,Ino,B4,25C (ambient),1,7_day,7,473.79
H2-Apo-32-A2-1,3,H2-Ino-25,H2,Ino,B4,25C (ambient),1,14_day,14,424.52
H2-Apo-32-A2-1,3,H2-Ino-25,H2,Ino,B4,25C (ambient),1,21_day,21,396.19
H2-Apo-32-A2-1,3,H2-Ino-25,H2,Ino,B4,25C (ambient),2,3_day,3,
H2-Apo-32-A2-1,3,H2-Ino-25,H2,Ino,B4,25C (ambient),2,7_day,7,285.3
H2-Apo-32-A2-1,3,H2-Ino-25,H2,Ino,B4,25C (ambient),2,14_day,14,165.27
H2-Apo-32-A3-1,3,H2-Ino-25,H2,Ino,B4,25C (ambient),2,21_day,21,122.87
H2-Apo-32-A3-1,3,H2-Ino-25,H2,Ino,C1,25C (ambient),1,3_day,3,509.97
H2-Apo-32-A3-1,3,H2-Ino-25,H2,Ino,C1,25C (ambient),1,7_day,7,465.84
H2-Apo-32-A3-1,3,H2-Ino-25,H2,Ino,C1,25C (ambient),1,14_day,14,411.24
H2-Apo-32-A3-1,3,H2-Ino-25,H2,Ino,C1,25C (ambient),1,21_day,21,362.05
H2-Apo-32-A3-1,3,H2-Ino-25,H2,Ino,C2,25C (ambient),1,3_day,3,315.4
H2-Apo-32-A3-1,3,H2-Ino-25,H2,Ino,C2,25C (ambient),1,7_day,7,
H2-Apo-32-A3-1,3,H2-Ino-25,H2,Ino,C2,25C (ambient),1,14_day,14,
H2-Apo-32-A3-1,3,H2-Ino-25,H2,Ino,C2,25C (ambient),1,21_day,21,
H2-Apo-32-A4-1,3,H2-Ino-25,H2,Ino,C3,25C (ambient),1,3_day,3,234.37
H2-Apo-32-A4-1,3,H2-Ino-25,H2,Ino,C3,25C (ambient),1,7_day,7,
H2-Apo-32-A4-1,3,H2-Ino-25,H2,Ino,C3,25C (ambient),1,14_day,14,
H2-Apo-32-A4-1,3,H2-Ino-25,H2,Ino,C3,25C (ambient),1,21_day,21,
H2-Apo-32-A4-1,3,H2-Ino-25,H2,Ino,C4,25C (ambient),1,3_day,3,403.85
H2-Apo-32-A4-1,3,H2-Ino-25,H2,Ino,C4,25C (ambient),1,7_day,7,276.2
H2-Apo-32-A4-1,3,H2-Ino-25,H2,Ino,C4,25C (ambient),1,14_day,14,350.36
H2-Apo-32-A4-1,3,H2-Ino-25,H2,Ino,C4,25C (ambient),1,21_day,21,344.9
H2-Apo-32-A4-1,4,H2-Ino-32,H2,Ino,A1,32C (heat stress),1,3_day,3,
H2-Apo-32-B1-1,4,H2-Ino-32,H2,Ino,A1,32C (heat stress),1,7_day,7,
H2-Apo-32-B1-1,4,H2-Ino-32,H2,Ino,A1,32C (heat stress),1,14_day,14,
H2-Apo-32-B1-1,4,H2-Ino-32,H2,Ino,A1,32C (heat stress),1,21_day,21,
H2-Apo-32-B1-1,4,H2-Ino-32,H2,Ino,A2,32C (heat stress),1,3_day,3,
H2-Apo-32-B1-1,4,H2-Ino-32,H2,Ino,A2,32C (heat stress),1,7_day,7,
H2-Apo-32-B1-1,4,H2-Ino-32,H2,Ino,A2,32C (heat stress),1,14_day,14,
H2-Apo-32-B1-1,4,H2-Ino-32,H2,Ino,A2,32C (heat stress),1,21_day,21,
H2-Apo-32-B1-1,4,H2-Ino-32,H2,Ino,A3,32C (heat stress),1,3_day,3,
H2-Apo-32-B1-1,4,H2-Ino-32,H2,Ino,A3,32C (heat stress),1,7_day,7,
H2-Apo-32-B2-1,4,H2-Ino-32,H2,Ino,A3,32C (heat stress),1,14_day,14,
H2-Apo-32-B2-1,4,H2-Ino-32,H2,Ino,A3,32C (heat stress),1,21_day,21,
H2-Apo-32-B2-1,4,H2-Ino-32,H2,Ino,A4,32C (heat stress),1,3_day,3,
H2-Apo-32-B2-1,4,H2-Ino-32,H2,Ino,A4,32C (heat stress),1,7_day,7,
H2-Apo-32-B2-1,4,H2-Ino-32,H2,Ino,A4,32C (heat stress),1,14_day,14,
H2-Apo-32-B2-1,4,H2-Ino-32,H2,Ino,A4,32C (heat stress),1,21_day,21,
H2-Apo-32-B2-1,4,H2-Ino-32,H2,Ino,B1,32C (heat stress),1,3_day,3,400.99
H2-Apo-32-B2-1,4,H2-Ino-32,H2,Ino,B1,32C (heat stress),1,7_day,7,
H2-Apo-32-B2-1,4,H2-Ino-32,H2,Ino,B1,32C (heat stress),1,14_day,14,
H2-Apo-32-B3-1,4,H2-Ino-32,H2,Ino,B1,32C (heat stress),1,21_day,21,
H2-Apo-32-B3-1,4,H2-Ino-32,H2,Ino,B2,32C (heat stress),1,3_day,3,462.15
H2-Apo-32-B3-1,4,H2-Ino-32,H2,Ino,B2,32C (heat stress),1,7_day,7,432.54
H2-Apo-32-B3-1,4,H2-Ino-32,H2,Ino,B2,32C (heat stress),1,14_day,14,403.76
H2-Apo-32-B3-1,4,H2-Ino-32,H2,Ino,B2,32C (heat stress),1,21_day,21,389.24
H2-Apo-32-B3-1,4,H2-Ino-32,H2,Ino,B3,32C (heat stress),1,3_day,3,394.31
H2-Apo-32-B3-1,4,H2-Ino-32,H2,Ino,B3,32C (heat stress),1,7_day,7,306.54
H2-Apo-32-B3-1,4,H2-Ino-32,H2,Ino,B3,32C (heat stress),1,14_day,14,264.64
H2-Apo-32-B3-1,4,H2-Ino-32,H2,Ino,B3,32C (heat stress),1,21_day,21,270.7
H2-Apo-32-B4-1,4,H2-Ino-32,H2,Ino,B4,32C (heat stress),1,3_day,3,437.01
H2-Apo-32-B4-1,4,H2-Ino-32,H2,Ino,B4,32C (heat stress),1,7_day,7,342.18
H2-Apo-32-B4-1,4,H2-Ino-32,H2,Ino,B4,32C (heat stress),1,14_day,14,300.45
H2-Apo-32-B4-1,4,H2-Ino-32,H2,Ino,B4,32C (heat stress),1,21_day,21,268.69
H2-Apo-32-B4-1,4,H2-Ino-32,H2,Ino,C1,32C (heat stress),1,3_day,3,495.93
H2-Apo-32-B4-1,4,H2-Ino-32,H2,Ino,C1,32C (heat stress),1,7_day,7,268.52
H2-Apo-32-B4-1,4,H2-Ino-32,H2,Ino,C1,32C (heat stress),1,14_day,14,242.85
H2-Apo-32-B4-1,4,H2-Ino-32,H2,Ino,C1,32C (heat stress),1,21_day,21,218.03
H2-Apo-32-B4-1,4,H2-Ino-32,H2,Ino,C2,32C (heat stress),1,3_day,3,
H2-Apo-32-C1-1,4,H2-Ino-32,H2,Ino,C2,32C (heat stress),1,7_day,7,
H2-Apo-32-C1-1,4,H2-Ino-32,H2,Ino,C2,32C (heat stress),1,14_day,14,
H2-Apo-32-C1-1,4,H2-Ino-32,H2,Ino,C2,32C (heat stress),1,21_day,21,
H2-Apo-32-C1-1,4,H2-Ino-32,H2,Ino,C3,32C (heat stress),1,3_day,3,600.35
H2-Apo-32-C1-1,4,H2-Ino-32,H2,Ino,C3,32C (heat stress),1,7_day,7,430.05
H2-Apo-32-C1-1,4,H2-Ino-32,H2,Ino,C3,32C (heat stress),1,14_day,14,198.9
H2-Apo-32-C1-1,4,H2-Ino-32,H2,Ino,C3,32C (heat stress),1,21_day,21,207.88
H2-Apo-32-C1-1,4,H2-Ino-32,H2,Ino,C4,32C (heat stress),1,3_day,3,551.97
H2-Apo-32-C1-1,4,H2-Ino-32,H2,Ino,C4,32C (heat stress),1,7_day,7,437.22
H2-Apo-32-C2-1,4,H2-Ino-32,H2,Ino,C4,32C (heat stress),1,14_day,14,423.41
H2-Apo-32-C2-1,4,H2-Ino-32,H2,Ino,C4,32C (heat stress),1,21_day,21,401.24
H2-Apo-32-C2-1,5,H2-Sym-25,H2,Sym,A1,25C (ambient),1,3_day,3,796.05
H2-Apo-32-C2-1,5,H2-Sym-25,H2,Sym,A1,25C (ambient),1,7_day,7,884.74
H2-Apo-32-C2-1,5,H2-Sym-25,H2,Sym,A1,25C (ambient),1,14_day,14,630.36
H2-Apo-32-C2-1,5,H2-Sym-25,H2,Sym,A1,25C (ambient),1,21_day,21,587
H2-Apo-32-C2-1,5,H2-Sym-25,H2,Sym,A1,25C (ambient),2,3_day,3,435.75
H2-Apo-32-C2-1,5,H2-Sym-25,H2,Sym,A1,25C (ambient),2,7_day,7,432.8
H2-Apo-32-C2-1,5,H2-Sym-25,H2,Sym,A1,25C (ambient),2,14_day,14,
H2-Apo-32-C3-1,5,H2-Sym-25,H2,Sym,A1,25C (ambient),2,21_day,21,
H2-Apo-32-C3-1,5,H2-Sym-25,H2,Sym,A2,25C (ambient),1,3_day,3,570.86
H2-Apo-32-C3-1,5,H2-Sym-25,H2,Sym,A2,25C (ambient),1,7_day,7,518.8
H2-Apo-32-C3-1,5,H2-Sym-25,H2,Sym,A2,25C (ambient),1,14_day,14,327.92
H2-Apo-32-C3-1,5,H2-Sym-25,H2,Sym,A2,25C (ambient),1,21_day,21,297.44
H2-Apo-32-C3-1,5,H2-Sym-25,H2,Sym,A2,25C (ambient),2,3_day,3,351.03
H2-Apo-32-C3-1,5,H2-Sym-25,H2,Sym,A2,25C (ambient),2,7_day,7,575.79
H2-Apo-32-C3-1,5,H2-Sym-25,H2,Sym,A2,25C (ambient),2,14_day,14,
H2-Apo-32-C3-1,5,H2-Sym-25,H2,Sym,A2,25C (ambient),2,21_day,21,
H2-Apo-32-C4-1,5,H2-Sym-25,H2,Sym,A3,25C (ambient),1,3_day,3,695.29
H2-Apo-32-C4-1,5,H2-Sym-25,H2,Sym,A3,25C (ambient),1,7_day,7,691.69
H2-Apo-32-C4-1,5,H2-Sym-25,H2,Sym,A3,25C (ambient),1,14_day,14,
H2-Apo-32-C4-1,5,H2-Sym-25,H2,Sym,A3,25C (ambient),1,21_day,21,
H2-Apo-32-C4-1,5,H2-Sym-25,H2,Sym,A3,25C (ambient),2,3_day,3,511.49
H2-Apo-32-C4-1,5,H2-Sym-25,H2,Sym,A3,25C (ambient),2,7_day,7,222.38
H2-Apo-32-C4-1,5,H2-Sym-25,H2,Sym,A3,25C (ambient),2,14_day,14,
H2-Apo-32-C4-1,5,H2-Sym-25,H2,Sym,A3,25C (ambient),2,21_day,21,
H2-Apo-32-C4-1,5,H2-Sym-25,H2,Sym,A4,25C (ambient),1,3_day,3,553.9
H2-Ino-25-A1-1,5,H2-Sym-25,H2,Sym,A4,25C (ambient),1,7_day,7,437.28
H2-Ino-25-A1-1,5,H2-Sym-25,H2,Sym,A4,25C (ambient),1,14_day,14,426.01
H2-Ino-25-A1-1,5,H2-Sym-25,H2,Sym,A4,25C (ambient),1,21_day,21,418.22
H2-Ino-25-A1-1,5,H2-Sym-25,H2,Sym,A4,25C (ambient),2,3_day,3,227.31
H2-Ino-25-A1-1,5,H2-Sym-25,H2,Sym,A4,25C (ambient),2,7_day,7,
H2-Ino-25-A1-1,5,H2-Sym-25,H2,Sym,A4,25C (ambient),2,14_day,14,
H2-Ino-25-A1-1,5,H2-Sym-25,H2,Sym,A4,25C (ambient),2,21_day,21,
H2-Ino-25-A1-1,5,H2-Sym-25,H2,Sym,B1,25C (ambient),1,3_day,3,502.26
H2-Ino-25-A1-1,5,H2-Sym-25,H2,Sym,B1,25C (ambient),1,7_day,7,568
H2-Ino-25-A2-1,5,H2-Sym-25,H2,Sym,B1,25C (ambient),1,14_day,14,
H2-Ino-25-A2-1,5,H2-Sym-25,H2,Sym,B1,25C (ambient),1,21_day,21,
H2-Ino-25-A2-1,5,H2-Sym-25,H2,Sym,B2,25C (ambient),1,3_day,3,486.38
H2-Ino-25-A2-1,5,H2-Sym-25,H2,Sym,B2,25C (ambient),1,7_day,7,495.29
H2-Ino-25-A2-1,5,H2-Sym-25,H2,Sym,B2,25C (ambient),1,14_day,14,
H2-Ino-25-A2-1,5,H2-Sym-25,H2,Sym,B2,25C (ambient),1,21_day,21,
H2-Ino-25-A2-1,5,H2-Sym-25,H2,Sym,B3,25C (ambient),1,3_day,3,405.68
H2-Ino-25-A2-1,5,H2-Sym-25,H2,Sym,B3,25C (ambient),1,7_day,7,328.98
H2-Ino-25-A2-1,5,H2-Sym-25,H2,Sym,B3,25C (ambient),1,14_day,14,446.64
H2-Ino-25-A3-1,5,H2-Sym-25,H2,Sym,B3,25C (ambient),1,21_day,21,444.07
H2-Ino-25-A3-1,5,H2-Sym-25,H2,Sym,B4,25C (ambient),1,3_day,3,
H2-Ino-25-A3-1,5,H2-Sym-25,H2,Sym,B4,25C (ambient),1,7_day,7,
H2-Ino-25-A3-1,5,H2-Sym-25,H2,Sym,B4,25C (ambient),1,14_day,14,
H2-Ino-25-A3-1,5,H2-Sym-25,H2,Sym,B4,25C (ambient),1,21_day,21,
H2-Ino-25-A3-1,5,H2-Sym-25,H2,Sym,C1,25C (ambient),1,3_day,3,
H2-Ino-25-A3-1,5,H2-Sym-25,H2,Sym,C1,25C (ambient),1,7_day,7,
H2-Ino-25-A3-1,5,H2-Sym-25,H2,Sym,C1,25C (ambient),1,14_day,14,
H2-Ino-25-A3-1,5,H2-Sym-25,H2,Sym,C1,25C (ambient),1,21_day,21,
H2-Ino-25-A4-1,5,H2-Sym-25,H2,Sym,C2,25C (ambient),1,3_day,3,743.96
H2-Ino-25-A4-1,5,H2-Sym-25,H2,Sym,C2,25C (ambient),1,7_day,7,739.12
H2-Ino-25-A4-1,5,H2-Sym-25,H2,Sym,C2,25C (ambient),1,14_day,14,721.58
H2-Ino-25-A4-1,5,H2-Sym-25,H2,Sym,C2,25C (ambient),1,21_day,21,682.47
H2-Ino-25-A4-1,5,H2-Sym-25,H2,Sym,C3,25C (ambient),1,3_day,3,518.82
H2-Ino-25-A4-1,5,H2-Sym-25,H2,Sym,C3,25C (ambient),1,7_day,7,499.98
H2-Ino-25-A4-1,5,H2-Sym-25,H2,Sym,C3,25C (ambient),1,14_day,14,
H2-Ino-25-A4-1,5,H2-Sym-25,H2,Sym,C3,25C (ambient),1,21_day,21,
