ID,Plate,Treatment,Line,Symbiosis,Well,Temp,Lacerate,Day,Day_cat,Tent_count
H2-Apo-32-B4-1,2,H2-Apo-32,H2,Apo,B4,32C (heat stress),1,14,14_day,x
H2-Apo-32-B4-1,2,H2-Apo-32,H2,Apo,B4,32C (heat stress),1,21,21_day,x
H2-Apo-32-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,0,0_day,0
H2-Apo-32-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,3,3_day,x
H2-Apo-32-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,4,4_day,x
H2-Apo-32-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,5,5_day,x
H2-Apo-32-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,7,7_day,x
H2-Apo-32-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,10,10_day,x
H2-Apo-32-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,11,11_day,x
H2-Apo-32-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,14,14_day,x
H2-Apo-32-C1-1,2,H2-Apo-32,H2,Apo,C1,32C (heat stress),1,21,21_day,x
H2-Apo-32-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,0,0_day,0
H2-Apo-32-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,3,3_day,x
H2-Apo-32-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,4,4_day,x
H2-Apo-32-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,5,5_day,x
H2-Apo-32-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,7,7_day,x
H2-Apo-32-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,10,10_day,x
H2-Apo-32-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,11,11_day,x
H2-Apo-32-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,14,14_day,x
H2-Apo-32-C2-1,2,H2-Apo-32,H2,Apo,C2,32C (heat stress),1,21,21_day,x
H2-Apo-32-C3-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,0,0_day,0
H2-Apo-32-C3-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,3,3_day,x
H2-Apo-32-C3-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,4,4_day,x
H2-Apo-32-C3-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,5,5_day,x
H2-Apo-32-C3-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,7,7_day,x
H2-Apo-32-C3-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,10,10_day,x
H2-Apo-32-C3-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,11,11_day,x
H2-Apo-32-C3-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,14,14_day,x
H2-Apo-32-C3-1,2,H2-Apo-32,H2,Apo,C3,32C (heat stress),1,21,21_day,x
H2-Apo-32-C4-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,0,0_day,0
H2-Apo-32-C4-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,3,3_day,x
H2-Apo-32-C4-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,4,4_day,x
H2-Apo-32-C4-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,5,5_day,x
H2-Apo-32-C4-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,7,7_day,x
H2-Apo-32-C4-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,10,10_day,x
H2-Apo-32-C4-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,11,11_day,x
H2-Apo-32-C4-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,14,14_day,x
H2-Apo-32-C4-1,2,H2-Apo-32,H2,Apo,C4,32C (heat stress),1,21,21_day,x
H2-Ino-25-A1-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,0,0_day,0
H2-Ino-25-A1-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,3,3_day,0
H2-Ino-25-A1-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,4,4_day,0
H2-Ino-25-A1-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,5,5_day,1
H2-Ino-25-A1-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,7,7_day,5
H2-Ino-25-A1-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,10,10_day,7
H2-Ino-25-A1-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,11,11_day,7
H2-Ino-25-A1-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,14,14_day,7
H2-Ino-25-A1-1,3,H2-Ino-25,H2,Ino,A1,25C (ambient),1,21,21_day,7
H2-Ino-25-A2-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,0,0_day,0
H2-Ino-25-A2-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,3,3_day,0
H2-Ino-25-A2-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,4,4_day,0
H2-Ino-25-A2-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,5,5_day,0
H2-Ino-25-A2-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,7,7_day,0
H2-Ino-25-A2-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,10,10_day,x
H2-Ino-25-A2-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,11,11_day,x
H2-Ino-25-A2-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,14,14_day,x
H2-Ino-25-A2-1,3,H2-Ino-25,H2,Ino,A2,25C (ambient),1,21,21_day,x
H2-Ino-25-A3-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,0,0_day,0
H2-Ino-25-A3-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,3,3_day,x
H2-Ino-25-A3-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,4,4_day,x
H2-Ino-25-A3-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,5,5_day,x
H2-Ino-25-A3-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,7,7_day,x
H2-Ino-25-A3-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,10,10_day,x
