date,week,observer,parent_id,pedal_disc_diameter_mm,pedal_disc_area_mm2,image_id,FvFm,health_note,genotype,temp,parent_id,tub_id
2026-02-18,W2,Grady,P2_H2_32_Tub2,8.414,49.714,IMG_0009,0.821,healthy,H2,32,P2_H2_32_Tub2,H2_32_Tub2
2026-02-18,W2,Grady,P3_H2_32_Tub2,6.893,32.116,IMG_0011,0.54,healthy,H2,32,P3_H2_32_Tub2,H2_32_Tub2
2026-02-18,W2,Grady,P1_H2_32_Tub3,8.864,60.868,IMG_0013,0.845,healthy,H2,32,P1_H2_32_Tub3,H2_32_Tub3
2026-02-18,W2,Grady,P2_H2_32_Tub3,9.375,59.342,IMG_0014,0.567,healthy,H2,32,P2_H2_32_Tub3,H2_32_Tub3
2026-02-18,W2,Grady,P3_H2_32_Tub3,8.239,49.454,IMG_0012,0.523,healthy,H2,32,P3_H2_32_Tub3,H2_32_Tub3
2026-02-18,W2,Grady,P1_VWA_32_Tub1,8.81,46.261,IMG_0002,0.772,healthy,VWA,32,P1_VWA_32_Tub1,VWA_32_Tub1
2026-02-18,W2,Grady,P2_VWA_32_Tub1,8.66,55.065,IMG_0001,0.421,healthy,VWA,32,P2_VWA_32_Tub1,VWA_32_Tub1
2026-02-18,W2,Grady,P3_VWA_32_Tub1,6.819,36.147,IMG_0001,0.678,healthy,VWA,32,P3_VWA_32_Tub1,VWA_32_Tub1
2026-02-18,W2,Grady,P1_VWA_32_Tub2,8.752,46.382,IMG_0004,0.722,healthy,VWA,32,P1_VWA_32_Tub2,VWA_32_Tub2
2026-02-18,W2,Grady,P2_VWA_32_Tub2,4.21,12.373,IMG_0004,0.893,healthy,VWA,32,P2_VWA_32_Tub2,VWA_32_Tub2
2026-02-18,W2,Grady,P3_VWA_32_Tub2,7.619,43.333,IMG_0003,0.376,healthy,VWA,32,P3_VWA_32_Tub2,VWA_32_Tub2
2026-02-18,W2,Grady,P1_VWA_32_Tub3,8.821,51.98,IMG_0006,0.786,healthy,VWA,32,P1_VWA_32_Tub3,VWA_32_Tub3
2026-02-18,W2,Grady,P2_VWA_32_Tub3,7.446,N/A,IMG_0005,0.981,healthy,VWA,32,P2_VWA_32_Tub3,VWA_32_Tub3
2026-02-18,W2,Grady,P3_VWA_32_Tub3,7.185,39.281,IMG_0005,0.987,healthy,VWA,32,P3_VWA_32_Tub3,VWA_32_Tub3
2026-02-25,W3,Grady,P1_H2_25_Tub1,7.964,, IMG_0001,0.63,healthy,H2,25,P1_H2_25_Tub1,H2_25_Tub1
2026-02-25,W3,Grady,P2_H2_25_Tub1,8.132,, IMG_0002,0.726,healthy,H2,25,P2_H2_25_Tub1,H2_25_Tub1
2026-02-25,W3,Grady,P3_H2_25_Tub1,8.162,, IMG_0003,0.703,healthy,H2,25,P3_H2_25_Tub1,H2_25_Tub1
2026-02-25,W3,Grady,P1_H2_25_Tub2,8.402,, IMG_0004,0.605,healthy,H2,25,P1_H2_25_Tub2,H2_25_Tub2
2026-02-25,W3,Grady,P2_H2_25_Tub2,4.835,, IMG_0005,0.865,healthy,H2,25,P2_H2_25_Tub2,H2_25_Tub2
2026-02-25,W3,Grady,P3_H2_25_Tub2,5.927,, IMG_0006,0.693,healthy,H2,25,P3_H2_25_Tub2,H2_25_Tub2
2026-02-25,W3,Grady,P1_H2_25_Tub3,8.955,, IMG_0007,0.99,healthy,H2,25,P1_H2_25_Tub3,H2_25_Tub3
2026-02-25,W3,Grady,P2_H2_25_Tub3,8.728,, IMG_0007,0.769,healthy,H2,25,P2_H2_25_Tub3,H2_25_Tub3
2026-02-25,W3,Grady,P3_H2_25_Tub3,7.925,, IMG_0008,0.603,healthy,H2,25,P3_H2_25_Tub3,H2_25_Tub3
2026-02-25,W3,Grady,P1_VWA_25_Tub1,7.234,, IMG_0009,0.779,healthy,VWA,25,P1_VWA_25_Tub1,VWA_25_Tub1
2026-02-25,W3,Grady,P2_VWA_25_Tub1,4.305,, IMG_0010,0.724,healthy,VWA,25,P2_VWA_25_Tub1,VWA_25_Tub1
2026-02-25,W3,Grady,P3_VWA_25_Tub1,9.27,, IMG_0011,0.8,healthy,VWA,25,P3_VWA_25_Tub1,VWA_25_Tub1
2026-02-25,W3,Grady,P1_VWA_25_Tub2,8.919,, IMG_0012,0.873,healthy,VWA,25,P1_VWA_25_Tub2,VWA_25_Tub2
2026-02-25,W3,Grady,P2_VWA_25_Tub2,9,, IMG_0012,0.826,healthy,VWA,25,P2_VWA_25_Tub2,VWA_25_Tub2
2026-02-25,W3,Grady,P3_VWA_25_Tub2,5.876,, IMG_0013,0.703,healthy,VWA,25,P3_VWA_25_Tub2,VWA_25_Tub2
