,Area,Sample,Image,Channel,Type,Threshold,Percentage,True_Channel,Treatment,Time,Notes
34,0.493,SC_5dpl_sample8_MAX_C1.tif,SC_5dpl_sample8_MAX_C4.tif,Second,Threshold Area,0.035,7.021,EdU,Sym_Control,5dpl,Bad_Shape
35,0.493,SC_5dpl_sample8_MAX_C1.tif,SC_5dpl_sample8_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,Bad_Shape
36,0.493,SC_5dpl_sample8_MAX_C1.tif,SC_5dpl_sample8_MAX_C3.tif,Second,Threshold Area,0.013,2.561,Caspase,Sym_Control,5dpl,Bad_Shape
1,0.295,SC_8dpl_sample1_MAX_C1.tif,SC_8dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
2,0.295,SC_8dpl_sample1_MAX_C1.tif,SC_8dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.002,0.575,EdU,Sym_Control,8dpl,
3,0.295,SC_8dpl_sample1_MAX_C1.tif,SC_8dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
4,0.295,SC_8dpl_sample1_MAX_C1.tif,SC_8dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.003,0.953,Caspase,Sym_Control,8dpl,
5,0.375,SC_8dpl_sample2_MAX_C1.tif,SC_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
6,0.375,SC_8dpl_sample2_MAX_C1.tif,SC_8dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.021,5.592,EdU,Sym_Control,8dpl,
7,0.375,SC_8dpl_sample2_MAX_C1.tif,SC_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
8,0.375,SC_8dpl_sample2_MAX_C1.tif,SC_8dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.008,2.21,Caspase,Sym_Control,8dpl,
9,0.399,SC_8dpl_sample3_MAX_C1.tif,SC_8dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
10,0.399,SC_8dpl_sample3_MAX_C1.tif,SC_8dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.006,1.421,EdU,Sym_Control,8dpl,
11,0.399,SC_8dpl_sample3_MAX_C1.tif,SC_8dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
12,0.399,SC_8dpl_sample3_MAX_C1.tif,SC_8dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.003,0.662,Caspase,Sym_Control,8dpl,
13,0.337,SC_8dpl_sample4_MAX_C1.tif,SC_8dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
14,0.337,SC_8dpl_sample4_MAX_C1.tif,SC_8dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.001,0.363,EdU,Sym_Control,8dpl,
15,0.337,SC_8dpl_sample4_MAX_C1.tif,SC_8dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
16,0.337,SC_8dpl_sample4_MAX_C1.tif,SC_8dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.007,2.142,Caspase,Sym_Control,8dpl,
17,0.213,SC_8dpl_sample5_MAX_C1.tif,SC_8dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
18,0.213,SC_8dpl_sample5_MAX_C1.tif,SC_8dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.01,4.552,EdU,Sym_Control,8dpl,
19,0.213,SC_8dpl_sample5_MAX_C1.tif,SC_8dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
20,0.213,SC_8dpl_sample5_MAX_C1.tif,SC_8dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.002,0.819,Caspase,Sym_Control,8dpl,
21,0.453,SC_8dpl_sample6_MAX_C1.tif,SC_8dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
22,0.453,SC_8dpl_sample6_MAX_C1.tif,SC_8dpl_sample6_MAX_C4.tif,Second,Threshold Area,2.09E-04,0.046,EdU,Sym_Control,8dpl,
23,0.453,SC_8dpl_sample6_MAX_C1.tif,SC_8dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,8dpl,
24,0.453,SC_8dpl_sample6_MAX_C1.tif,SC_8dpl_sample6_MAX_C3.tif,Second,Threshold Area,0.005,1.178,Caspase,Sym_Control,8dpl,
1,0.455,SH_2dpl_sample1_MAX_C1.tif,SH_2dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
2,0.455,SH_2dpl_sample1_MAX_C1.tif,SH_2dpl_sample1_MAX_C4.tif,Second,Threshold Area,3.10E-02,6.737,EdU,Sym_HS,2dpl,
3,0.455,SH_2dpl_sample1_MAX_C1.tif,SH_2dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
4,0.455,SH_2dpl_sample1_MAX_C1.tif,SH_2dpl_sample1_MAX_C3.tif,Second,Threshold Area,2.00E-02,4.431,Caspase,Sym_HS,2dpl,
1,0.411,SH_2dpl_sample2_MAX_C1.tif,SH_2dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
2,0.411,SH_2dpl_sample2_MAX_C1.tif,SH_2dpl_sample2_MAX_C4.tif,Second,Threshold Area,1.80E-02,4.302,EdU,Sym_HS,2dpl,
3,0.411,SH_2dpl_sample2_MAX_C1.tif,SH_2dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
