,Area,Sample,Image,Channel,Type,Threshold,Percentage,True_Channel,Treatment,Time,Notes
20,0.153,IC_8dpl_sample1_MAX_C1.tif,IC_8dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.017,10.802,Caspase,Inoc_Control,8dpl,
21,0.125,IC_8dpl_sample2_MAX_C1.tif,IC_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,8dpl,
22,0.125,IC_8dpl_sample2_MAX_C1.tif,IC_8dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.008,6.632,EdU,Inoc_Control,8dpl,
23,0.125,IC_8dpl_sample2_MAX_C1.tif,IC_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,8dpl,
24,0.125,IC_8dpl_sample2_MAX_C1.tif,IC_8dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.016,12.847,Caspase,Inoc_Control,8dpl,
25,0.109,IC_8dpl_sample3_MAX_C1.tif,IC_8dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,8dpl,
26,0.109,IC_8dpl_sample3_MAX_C1.tif,IC_8dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.019,17.567,EdU,Inoc_Control,8dpl,
27,0.109,IC_8dpl_sample3_MAX_C1.tif,IC_8dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,8dpl,
28,0.109,IC_8dpl_sample3_MAX_C1.tif,IC_8dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.026,24.016,Caspase,Inoc_Control,8dpl,
29,0.121,IC_8dpl_sample4_MAX_C1.tif,IC_8dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,8dpl,
30,0.121,IC_8dpl_sample4_MAX_C1.tif,IC_8dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.014,11.578,EdU,Inoc_Control,8dpl,
31,0.121,IC_8dpl_sample4_MAX_C1.tif,IC_8dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,8dpl,
32,0.121,IC_8dpl_sample4_MAX_C1.tif,IC_8dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.021,16.955,Caspase,Inoc_Control,8dpl,
33,0.052,IC_14dpl_sample1+2_MAX_C1.tif,IC_14dpl_sample1+2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,14dpl,
34,0.052,IC_14dpl_sample1+2_MAX_C1.tif,IC_14dpl_sample1+2_MAX_C4.tif,Second,Threshold Area,4.68E-04,0.907,EdU,Inoc_Control,14dpl,
35,0.052,IC_14dpl_sample1+2_MAX_C1.tif,IC_14dpl_sample1+2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,14dpl,
36,0.052,IC_14dpl_sample1+2_MAX_C1.tif,IC_14dpl_sample1+2_MAX_C3.tif,Second,Threshold Area,6.87E-05,0.133,Caspase,Inoc_Control,14dpl,
37,0.217,IC_14dpl_sample1+2_MAX_C1.tif,IC_14dpl_sample1+2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,14dpl,
38,0.217,IC_14dpl_sample1+2_MAX_C1.tif,IC_14dpl_sample1+2_MAX_C4.tif,Second,Threshold Area,0.003,1.525,EdU,Inoc_Control,14dpl,
39,0.217,IC_14dpl_sample1+2_MAX_C1.tif,IC_14dpl_sample1+2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,14dpl,
40,0.217,IC_14dpl_sample1+2_MAX_C1.tif,IC_14dpl_sample1+2_MAX_C3.tif,Second,Threshold Area,0.005,2.3,Caspase,Inoc_Control,14dpl,
41,0.143,IC_14dpl_sample3_MAX_C1.tif,IC_14dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,14dpl,
42,0.143,IC_14dpl_sample3_MAX_C1.tif,IC_14dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.002,1.456,EdU,Inoc_Control,14dpl,
43,0.143,IC_14dpl_sample3_MAX_C1.tif,IC_14dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_Control,14dpl,
44,0.143,IC_14dpl_sample3_MAX_C1.tif,IC_14dpl_sample3_MAX_C3.tif,Second,Threshold Area,5.69E-04,0.397,Caspase,Inoc_Control,14dpl,
45,0.241,IH_5dpl_sample1_MAX_C1.tif,IH_5dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,5dpl,
46,0.241,IH_5dpl_sample1_MAX_C1.tif,IH_5dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.036,14.93,EdU,Inoc_HS,5dpl,
47,0.241,IH_5dpl_sample1_MAX_C1.tif,IH_5dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,5dpl,
48,0.241,IH_5dpl_sample1_MAX_C1.tif,IH_5dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.04,16.39,Caspase,Inoc_HS,5dpl,
49,0.21,IH_5dpl_sample2_MAX_C1.tif,IH_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,5dpl,
50,0.21,IH_5dpl_sample2_MAX_C1.tif,IH_5dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.046,21.819,EdU,Inoc_HS,5dpl,
51,0.21,IH_5dpl_sample2_MAX_C3.tif,IH_5dpl_sample2_MAX_C3.tif,Hoechst,ROI Area,0,0,Caspase,Inoc_HS,5dpl,
52,0.21,IH_5dpl_sample2_MAX_C3.tif,IH_5dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.064,30.598,Caspase,Inoc_HS,5dpl,
53,0.282,IH_5dpl_sample3_MAX_C1.tif,IH_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,5dpl,
54,0.282,IH_5dpl_sample3_MAX_C1.tif,IH_5dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.084,29.695,EdU,Inoc_HS,5dpl,
55,0.282,IH_5dpl_sample3_MAX_C1.tif,IH_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,5dpl,
56,0.282,IH_5dpl_sample3_MAX_C1.tif,IH_5dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.094,33.365,Caspase,Inoc_HS,5dpl,
57,0.107,IH_5dpl_sample4_MAX_C1.tif,IH_5dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,5dpl,
58,0.107,IH_5dpl_sample4_MAX_C1.tif,IH_5dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.028,26.094,EdU,Inoc_HS,5dpl,
59,0.107,IH_5dpl_sample4_MAX_C1.tif,IH_5dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,5dpl,
60,0.107,IH_5dpl_sample4_MAX_C1.tif,IH_5dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.032,30.038,Caspase,Inoc_HS,5dpl,
61,0.154,IH_5dpl_sample5_MAX_C1.tif,IH_5dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,5dpl,
62,0.154,IH_5dpl_sample5_MAX_C1.tif,IH_5dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.024,15.569,EdU,Inoc_HS,5dpl,
63,0.154,IH_5dpl_sample5_MAX_C1.tif,IH_5dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,5dpl,
64,0.154,IH_5dpl_sample5_MAX_C1.tif,IH_5dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.049,31.637,Caspase,Inoc_HS,5dpl,
65,0.196,IH_8dpl_sample1_really_good_MAX_C1.tif,IH_8dpl_sample1_really_good_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,8dpl,
66,0.196,IH_8dpl_sample1_really_good_MAX_C1.tif,IH_8dpl_sample1_really_good_MAX_C4.tif,Second,Threshold Area,0.024,12.009,EdU,Inoc_HS,8dpl,
67,0.196,IH_8dpl_sample1_really_good_MAX_C1.tif,IH_8dpl_sample1_really_good_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,8dpl,
68,0.196,IH_8dpl_sample1_really_good_MAX_C1.tif,IH_8dpl_sample1_really_good_MAX_C3.tif,Second,Threshold Area,0.02,10.054,Caspase,Inoc_HS,8dpl,
69,0.178,IH_8dpl_sample2_MAX_C1.tif,IH_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,8dpl,
70,0.178,IH_8dpl_sample2_MAX_C1.tif,IH_8dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.024,13.637,EdU,Inoc_HS,8dpl,
71,0.178,IH_8dpl_sample2_MAX_C1.tif,IH_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,8dpl,
72,0.178,IH_8dpl_sample2_MAX_C1.tif,IH_8dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.021,11.742,Caspase,Inoc_HS,8dpl,
73,0.164,IH_8dpl_sample4_MAX_C1.tif,IH_8dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,8dpl,
74,0.164,IH_8dpl_sample4_MAX_C1.tif,IH_8dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.008,4.897,EdU,Inoc_HS,8dpl,
75,0.164,IH_8dpl_sample4_MAX_C1.tif,IH_8dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,8dpl,
76,0.164,IH_8dpl_sample4_MAX_C1.tif,IH_8dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.008,4.658,Caspase,Inoc_HS,8dpl,
77,0.247,IH_8dpl_sample5_MAX_C1.tif,IH_8dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,8dpl,
78,0.247,IH_8dpl_sample5_MAX_C1.tif,IH_8dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.048,19.408,EdU,Inoc_HS,8dpl,
79,0.247,IH_8dpl_sample5_MAX_C1.tif,IH_8dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,8dpl,
80,0.247,IH_8dpl_sample5_MAX_C1.tif,IH_8dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.009,3.597,Caspase,Inoc_HS,8dpl,
81,0.273,IH_8dpl_sample6_MAX_C1.tif,IH_8dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,8dpl,
82,0.273,IH_8dpl_sample6_MAX_C1.tif,IH_8dpl_sample6_MAX_C4.tif,Second,Threshold Area,0.021,7.789,EdU,Inoc_HS,8dpl,
83,0.273,IH_8dpl_sample6_MAX_C1.tif,IH_8dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,8dpl,
84,0.273,IH_8dpl_sample6_MAX_C1.tif,IH_8dpl_sample6_MAX_C3.tif,Second,Threshold Area,0.031,11.528,Caspase,Inoc_HS,8dpl,
85,0.156,IH_14dpl_sample1_MAX_C1.tif,IH_14dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,14dpl,
86,0.156,IH_14dpl_sample1_MAX_C1.tif,IH_14dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.012,7.469,EdU,Inoc_HS,14dpl,
87,0.156,IH_14dpl_sample1_MAX_C1.tif,IH_14dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,14dpl,
88,0.156,IH_14dpl_sample1_MAX_C1.tif,IH_14dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.006,3.866,Caspase,Inoc_HS,14dpl,
89,0.302,IH_14dpl_sample2_MAX_C1.tif,IH_14dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,14dpl,
90,0.302,IH_14dpl_sample2_MAX_C1.tif,IH_14dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.004,1.29,Caspase,Inoc_HS,14dpl,
91,0.302,IH_14dpl_sample2_MAX_C1.tif,IH_14dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Inoc_HS,14dpl,
92,0.302,IH_14dpl_sample2_MAX_C1.tif,IH_14dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.015,4.846,EdU,Inoc_HS,14dpl,
