,Label,Area,Mean,Min,Max,MinThr,MaxThr,Type,%,Region,notes,,plate,well,sym,temp,treatment,day,calculation
28,Snap-396.czi,1797.046,1598.267,1040,3501,1040,65535,Symbiont Area,19.595,Tentacle,,,7,A5,inoc,25C,inoc-25C,10,19.59540718
29,Snap-399.czi,8322.068,833.745,391,2530,0,65535,Tentacle Area,0,Tentacle,,,7,A5,inoc,25C,inoc-25C,10,0
30,Snap-397.czi,2200.306,1824.668,1200,3923,1200,65535,Symbiont Area,26.439,Tentacle,,,7,A5,inoc,25C,inoc-25C,10,26.43941386
31,Snap-401.czi,13139.561,1042.523,396,1729,0,65535,Tentacle Area,0,Tentacle,,,7,A6,inoc,25C,inoc-25C,10,0
32,Snap-400.czi,3570.091,1801.911,1208,3710,1208,65535,Symbiont Area,27.171,Tentacle,,,7,A6,inoc,25C,inoc-25C,10,27.17055007
33,Snap-404.czi,11661.879,840.346,354,1914,0,65535,Tentacle Area,0,Tentacle,,,7,A6,inoc,25C,inoc-25C,10,0
34,Snap-403.czi,4411.855,1667.343,1076,3962,1076,65535,Symbiont Area,37.831,Tentacle,,,7,A6,inoc,25C,inoc-25C,10,37.83142494
35,Snap-405.czi,10424.64,817.368,288,1422,0,65535,Tentacle Area,0,Tentacle,,,7,A6,inoc,25C,inoc-25C,10,0
36,Snap-402.czi,3473.871,1820.907,1223,3706,1223,65535,Symbiont Area,33.324,Tentacle,,,7,A6,inoc,25C,inoc-25C,10,33.32365434
37,Snap-407.czi,7110.127,1345.355,518,3327,0,65535,Tentacle Area,0,Tentacle,,,7,B1,inoc,25C,inoc-25C,10,0
38,Snap-406.czi,1472.925,1485.485,912,3829,912,65535,Symbiont Area,20.716,Tentacle,,,7,B1,inoc,25C,inoc-25C,10,20.7158747
39,Snap-410.czi,6161.115,1298.817,528,3394,0,65535,Tentacle Area,0,Tentacle,,,7,B1,inoc,25C,inoc-25C,10,0
40,Snap-409.czi,1153.344,1397.567,828,3875,828,65535,Symbiont Area,18.72,Tentacle,,,7,B1,inoc,25C,inoc-25C,10,18.71972849
41,Snap-411.czi,6987.743,1152.469,513,2920,0,65535,Tentacle Area,0,Tentacle,,,7,B1,inoc,25C,inoc-25C,10,0
42,Snap-408.czi,1580.605,1498.184,924,3485,924,65535,Symbiont Area,22.62,Tentacle,,,7,B1,inoc,25C,inoc-25C,10,22.61967849
43,Snap-413.czi,20313.041,876.935,392,1905,0,65535,Tentacle Area,0,Tentacle,,,7,B2,inoc,25C,inoc-25C,10,0
44,Snap-412.czi,4977.499,1790.276,1059,3936,1059,65535,Symbiont Area,24.504,Tentacle,,,7,B2,inoc,25C,inoc-25C,10,24.50395783
45,Snap-419.czi,11270.079,793.108,354,1380,0,65535,Tentacle Area,0,Tentacle,,,7,B3,inoc,25C,inoc-25C,10,0
46,Snap-418.czi,1590.551,2104.137,1376,3936,1376,65535,Symbiont Area,14.113,Tentacle,,,7,B3,inoc,25C,inoc-25C,10,14.11304215
47,Snap-421.czi,6924.173,721.585,269,1601,0,65535,Tentacle Area,0,Tentacle,,,7,B3,inoc,25C,inoc-25C,10,0
48,Snap-420.czi,1426.436,2009.662,1216,3953,1216,65535,Symbiont Area,20.601,Tentacle,,,7,B3,inoc,25C,inoc-25C,10,20.60081399
49,Snap-423.czi,10452.965,835.967,437,2525,0,65535,Tentacle Area,0,Tentacle,,,7,B4,inoc,25C,inoc-25C,10,0
50,Snap-422.czi,1545.144,1559.862,875,3669,875,65535,Symbiont Area,14.782,Tentacle,,,7,B4,inoc,25C,inoc-25C,10,14.78187289
