ID,plate,treatment,line,symbiosis,well,temp,day,tent_count,day_cat
H2-SYM-3_C1_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C1,25C (ambient),13,6,day_13
H2-SYM-3_C1_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C1,25C (ambient),14,6,day_14
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),0,0,day_0
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),1,0,day_1
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),2,0,day_2
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),3,x,day_3
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),4,x,day_4
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),5,x,day_5
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),6,x,day_6
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),7,x,day_7
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),8,x,day_8
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),9,x,day_9
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),10,x,day_10
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),11,x,day_11
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),12,x,day_12
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),13,x,day_13
H2-SYM-3_C2_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C2,25C (ambient),14,x,day_14
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),0,0,day_0
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),1,0,day_1
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),2,0,day_2
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),3,0,day_3
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),4,0,day_4
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),5,0,day_5
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),6,0,day_6
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),7,2,day_7
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),8,6,day_8
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),9,6,day_9
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),10,8,day_10
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),11,8,day_11
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),12,8,day_12
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),13,8,day_13
H2-SYM-3_C3_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C3,25C (ambient),14,8,day_14
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),0,0,day_0
