marker,state,heat,term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,signif
EdU,Inoc,Heat,time,5dpl,8dpl,0,-10.073400000000003,-20.179527575139183,0.03272757513917668,0.0507,ns,ns
EdU,Inoc,Heat,time,5dpl,14dpl,0,-15.463900000000008,-28.833050140855256,-2.094749859144761,0.0253,*,*
EdU,Inoc,Heat,time,8dpl,14dpl,0,-5.390500000000005,-18.75965014085525,7.978650140855242,0.523,ns,ns
EdU,Sym,Control,time,2dpl,5dpl,0,2.2072999999999987,-1.2124786042068938,5.627078604206892,0.248,ns,ns
EdU,Sym,Control,time,2dpl,8dpl,0,-1.7887,-5.421086271107976,1.8436862711079764,0.431,ns,ns
EdU,Sym,Control,time,5dpl,8dpl,0,-3.9959999999999987,-7.2356620572518455,-0.7563379427481522,0.0151,*,*
EdU,Sym,Heat,time,2dpl,5dpl,0,2.019583333333334,-4.291311747248312,8.330478413914982,0.698,ns,ns
EdU,Sym,Heat,time,2dpl,8dpl,0,-1.4388809523809498,-7.940096897269685,5.062334992507786,0.84,ns,ns
EdU,Sym,Heat,time,5dpl,8dpl,0,-3.458464285714284,-9.506288742449817,2.5893601710212493,0.333,ns,ns
Caspase,Apo,Control,time,2dpl,5dpl,0,-9.926666666666664,-32.59748103950507,12.74414770617174,0.58,ns,ns
Caspase,Apo,Control,time,2dpl,8dpl,0,-5.746666666666663,-26.73576229125291,15.242428957919586,0.847,ns,ns
Caspase,Apo,Control,time,2dpl,14dpl,0,-10.347000000000001,-34.58312001780334,13.889120017803332,0.599,ns,ns
Caspase,Apo,Control,time,5dpl,8dpl,0,4.1800000000000015,-14.980335225364781,23.340335225364782,0.914,ns,ns
Caspase,Apo,Control,time,5dpl,14dpl,0,-0.42033333333333633,-23.09114770617174,22.25048103950507,1,ns,ns
Caspase,Apo,Control,time,8dpl,14dpl,0,-4.600333333333338,-25.589428957919587,16.38876229125291,0.913,ns,ns
Caspase,Apo,Heat,time,2dpl,5dpl,0,-10.914233333333325,-24.755387454569792,2.9269207879031445,0.145,ns,ns
Caspase,Apo,Heat,time,2dpl,8dpl,0,-14.27583333333333,-30.438819137372583,1.8871524707059226,0.0911,ns,ns
Caspase,Apo,Heat,time,2dpl,14dpl,0,4.183166666666672,-11.97981913737258,20.346152470705924,0.871,ns,ns
Caspase,Apo,Heat,time,5dpl,8dpl,0,-3.3616000000000046,-20.05465995840825,13.33145995840824,0.933,ns,ns
Caspase,Apo,Heat,time,5dpl,14dpl,0,15.097399999999997,-1.5956599584082483,31.790459958408242,0.0819,ns,ns
Caspase,Apo,Heat,time,8dpl,14dpl,0,18.459000000000003,-0.20440840974032426,37.12240840974033,0.0529,ns,ns
Caspase,Inoc,Control,time,5dpl,8dpl,0,5.140249999999996,-3.5843479599051555,13.864847959905148,0.269,ns,ns
Caspase,Inoc,Control,time,5dpl,14dpl,0,-10.071416666666668,-19.49505951266725,-0.6477738206660852,0.0375,*,*
Caspase,Inoc,Control,time,8dpl,14dpl,0,-15.211666666666664,-24.63530951266725,-5.788023820666082,0.00435,**,**
Caspase,Inoc,Heat,time,5dpl,8dpl,0,-20.089799999999997,-29.413714006060864,-10.76588599393913,5.21e-4,***,***
Caspase,Inoc,Heat,time,5dpl,14dpl,0,-25.827600000000007,-38.16197885289453,-13.493221147105489,6.41e-4,***,***
Caspase,Inoc,Heat,time,8dpl,14dpl,0,-5.737800000000011,-18.07217885289453,6.596578852894508,0.431,ns,ns
Caspase,Sym,Control,time,2dpl,5dpl,0,-10.727055555555559,-21.852860736897114,0.3987496257859977,0.0599,ns,ns
Caspase,Sym,Control,time,2dpl,8dpl,0,-12.077166666666667,-24.26487560312392,0.11054226979058335,0.0523,ns,ns
Caspase,Sym,Control,time,5dpl,8dpl,0,-1.350111111111107,-12.475916292452663,9.77569407023045,0.949,ns,ns
Caspase,Sym,Heat,time,2dpl,5dpl,0,1.4955833333333328,-2.043332835531556,5.034499502198221,0.541,ns,ns
Caspase,Sym,Heat,time,2dpl,8dpl,0,-2.1672916666666673,-5.706207835531556,1.3716245021982214,0.288,ns,ns
Caspase,Sym,Heat,time,5dpl,8dpl,0,-3.6628749999999997,-6.939274720545186,-0.38647527945481297,0.027,*,*
